,Unnamed: 0,statefips,countyfips,avghouseholdsize,geography,avgdeathsperyear,popest2015
0,0,2,16,3.59,"Aleutians West Census Area, Alaska",3,5702
1,1,2,20,2.77,"Anchorage Municipality, Alaska",352,298695
2,2,2,50,3.86,"Bethel Census Area, Alaska",20,17946
3,3,2,70,3.56,"Dillingham Census Area, Alaska",7,4997
4,4,2,90,2.69,"Fairbanks North Star Borough, Alaska",105,99631
5,5,2,100,2.12,"Haines Borough, Alaska",4,2534
6,6,2,110,2.62,"Juneau City and Borough, Alaska",41,32756
7,7,2,122,2.57,"Kenai Peninsula Borough, Alaska",96,58059
8,8,2,130,2.55,"Ketchikan Gateway Borough, Alaska",25,13709
9,9,2,150,2.98,"Kodiak Island Borough, Alaska",15,13889
10,10,2,170,3.03,"Matanuska-Susitna Borough, Alaska",127,101095
11,11,2,180,3.26,"Nome Census Area, Alaska",17,9846
12,12,2,185,3.28,"North Slope Borough, Alaska",12,9687
13,13,2,188,3.97,"Northwest Arctic Borough, Alaska",9,7752
14,14,2,220,2.49,"Sitka City and Borough, Alaska",13,8863
15,15,2,240,3.11,"Southeast Fairbanks Census Area, Alaska",11,6839
16,16,2,261,3.1,"Valdez-Cordova Census Area, Alaska",13,9362
17,17,2,290,2.81,"Yukon-Koyukuk Census Area, Alaska",11,5533
18,18,1,1,2.68,"Autauga County, Alabama",99,55347
19,19,1,3,2.6,"Baldwin County, Alabama",424,203709
20,20,1,5,2.61,"Barbour County, Alabama",62,26489
21,21,1,7,2.95,"Bibb County, Alabama",53,22583
22,22,1,9,2.74,"Blount County, Alabama",120,57673
23,23,1,11,2.73,"Bullock County, Alabama",22,10696
24,24,1,15,2.52,"Calhoun County, Alabama",267,115620
25,25,1,17,2.44,"Chambers County, Alabama",95,34123
26,26,1,19,2.28,"Cherokee County, Alabama",69,25859
27,27,1,21,2.68,"Chilton County, Alabama",98,43943
28,28,1,23,2.37,"Choctaw County, Alabama",27,13170
